Sub_Number,TrialStart,TrialEnd,Trial_Number,Condition,Target_Contrast
83,3216290,3217406,628,FarHighWide,0.012589254117941666
83,3218141,3219071,629,ThreeLinesControl,0.0630957344480193
83,3219994,3221023,630,FarHighWide,0.015848931924611127
83,3221843,3222959,631,ThreeLinesControl,0.050118723362727206
83,3223696,3225494,632,FarLowWide_null,0.01995262314968879
83,3225545,3226663,633,Constant,0.01995262314968879
83,3227396,3228455,634,FarLowNarrow,0.031622776601683784
83,3229247,3230047,635,FarLowWide,0.050118723362727206
83,3231096,3232056,636,Constant,0.025118864315095794
83,3232950,3233752,637,ThreeLinesControl,0.039810717055349706
83,3234787,3235872,638,FarHighWide,0.01995262314968879
83,3236630,3237592,639,FarHighNarrow,0.019952623149688792
83,3238481,3239280,640,FarHighWide,0.025118864315095794
83,3240324,3241144,641,ThreeLinesControl,0.03162277660168378
83,3242174,3242904,642,FarLowWide,0.0630957344480193
83,3244026,3244793,643,FarHighWide,0.01995262314968879
83,3245877,3246553,644,FarHighNarrow,0.01584893192461113
83,3247727,3248513,645,ThreeLinesControl,0.025118864315095787
83,3249580,3250209,646,FarLowWide,0.050118723362727206
83,3251429,3252001,647,FarLowNarrow,0.02511886431509579
83,3253280,3253873,648,FarHighWide,0.015848931924611127
83,3255133,3255946,649,FarHighNarrow,0.012589254117941668
83,3256982,3257714,650,ThreeLinesControl,0.019952623149688785
83,3258832,3259690,651,Constant,0.01995262314968879
83,3260685,3262481,652,FarLowNarrow,0.01995262314968879
83,3262534,3263298,653,FarHighWide,0.012589254117941666
83,3264373,3265082,654,FarHighNarrow,0.009999999999999997
83,3266215,3266994,655,FarHighNarrow,0.012589254117941668
83,3268050,3268746,656,FarLowNarrow,0.025118864315095794
83,3269894,3270747,657,Constant,0.025118864315095794
83,3271742,3272787,658,Constant,0.01995262314968879
83,3273593,3274443,659,FarHighNarrow,0.01584893192461113
83,3275445,3276227,660,FarLowNarrow_null,0.050118723362727206
83,3277297,3278019,661,FarLowNarrow,0.031622776601683784
83,3279150,3280003,662,FarHighNarrow,0.012589254117941668
83,3280999,3282798,663,FarHighWide,0.015848931924611127
83,3282850,3284649,664,Constant,0.015848931924611127
83,3284701,3285460,665,FarLowWide,0.039810717055349706
83,3286550,3287516,666,Constant,0.01995262314968879
83,3288401,3289300,667,FarHighWide,0.01995262314968879
83,3290251,3291092,668,FarHighWide,0.015848931924611127
83,3292102,3293890,669,FarLowWide,0.03162277660168378
83,3293943,3294877,670,FarHighWide,0.012589254117941666
83,3295784,3296565,671,FarLowWide,0.039810717055349706
83,3297619,3298365,672,FarHighWide,0.009999999999999995
83,3299465,3300533,673,ThreeLinesControl,0.025118864315095787
83,3301313,3302221,674,FarHighWide,0.00794328234724281
83,3303145,3303925,675,FarHighNarrow,0.01584893192461113
83,3304999,3305997,676,FarHighWide,0.0063095734448019285
83,3306849,3307614,677,FarLowWide_null,0.025118864315095794
83,3308704,3309438,678,FarHighWide,0.00794328234724281
83,3310552,3311222,679,FarLowWide_null,0.01995262314968879
83,3312402,3313150,680,FarLowWide,0.03162277660168378
83,3314253,3315134,681,FarLowWide_null,0.015848931924611127
83,3316103,3316934,682,FarLowNarrow_null,0.0630957344480193
83,3317953,3318967,683,Constant,0.015848931924611127
83,3319803,3320735,684,Constant,0.012589254117941666
83,3321654,3322679,685,ThreeLinesControl_null,0.02511886431509579
83,3323503,3324367,686,FarLowNarrow,0.03981071705534971
83,3325338,3326359,687,ThreeLinesControl,0.019952623149688785
83,3327172,3328223,688,Constant,0.015848931924611127
83,3329015,3329807,689,FarHighNarrow,0.012589254117941668
83,3330866,3331599,690,FarHighNarrow,0.01584893192461113
83,3332717,3333496,691,ThreeLinesControl,0.015848931924611124
83,3334568,3336367,692,FarLowNarrow_null,0.050118723362727206
83,3336418,3337384,693,FarLowWide,0.039810717055349706
83,3338269,3339264,694,ThreeLinesControl,0.019952623149688785
83,3340121,3341040,695,FarHighNarrow,0.019952623149688792
83,3341972,3342776,696,FarLowWide,0.03162277660168378
83,3343823,3344553,697,ThreeLinesControl,0.025118864315095787
83,3345672,3347471,698,FarHighNarrow_null,0.015848931924611127
83,3347522,3348081,699,Constant,0.012589254117941666
83,3349373,3351171,700,Constant,0.009999999999999995
83,3351222,3351993,701,Constant_null,0.031622776601683784
83,3353073,3353769,702,FarLowNarrow,0.031622776601683784
83,3354906,3355721,703,ThreeLinesControl,0.019952623149688785
83,3356741,3357689,704,Constant,0.012589254117941666
83,3358573,3359474,705,FarLowNarrow,0.03981071705534971
83,3360418,3362216,706,FarHighNarrow,0.025118864315095798
83,3362268,3364069,707,FarHighNarrow,0.03162277660168379
83,3364120,3365138,708,FarLowNarrow,0.031622776601683784
83,3365973,3366626,709,FarLowNarrow,0.03981071705534971
83,3367820,3369622,710,FarHighNarrow_null,0.01995262314968879
83,3369674,3370547,711,FarHighWide,0.009999999999999995
83,3371524,3372475,712,FarHighWide,0.00794328234724281
83,3373375,3374099,713,FarHighWide_null,0.07943282347242812
83,3375225,3375923,714,FarHighWide,0.009999999999999995
83,3377075,3377683,715,FarLowNarrow,0.031622776601683784
83,3378926,3380107,716,FarLowWide,0.039810717055349706
83,3380777,3381531,717,FarHighWide,0.012589254117941666
83,3382625,3383388,718,FarLowWide_null,0.012589254117941666
83,3384460,3385196,719,Constant,0.015848931924611127
83,3429597,3430751,720,FarLowWide,0.03162277660168378
83,3431445,3432168,721,FarHighWide,0.009999999999999995
83,3433295,3434320,722,ThreeLinesControl,0.025118864315095787
83,3435146,3436016,723,Constant,0.01995262314968879
83,3436996,3437832,724,Constant,0.015848931924611127
83,3438847,3439688,725,Constant,0.012589254117941666
83,3440697,3441464,726,FarLowWide,0.039810717055349706
83,3442547,3443192,727,FarLowWide,0.050118723362727206
83,3444380,3445145,728,FarLowNarrow,0.03981071705534971
83,3446213,3447996,729,FarLowWide,0.0630957344480193
83,3448048,3449840,730,FarHighNarrow,0.03981071705534973
83,3449892,3451690,731,FarLowNarrow,0.05011872336272721
83,3451742,3453541,732,FarLowWide,0.07943282347242812
83,3453593,3454202,733,FarHighWide,0.012589254117941666
83,3455445,3457244,734,FarHighWide_null,0.0630957344480193
83,3457296,3458146,735,FarLowNarrow,0.0630957344480193
83,3459152,3460963,736,FarLowNarrow,0.050118723362727206
83,3461015,3462813,737,FarHighWide,0.009999999999999995
83,3462865,3463962,738,FarLowNarrow,0.0630957344480193
83,3464714,3465466,739,FarHighWide,0.012589254117941666
83,3466565,3467531,740,FarHighNarrow,0.050118723362727234
83,3468416,3469179,741,ThreeLinesControl,0.019952623149688785
83,3470266,3472064,742,FarLowWide_null,0.009999999999999995
83,3472116,3472787,743,FarLowWide,0.09999999999999998
83,3473958,3474819,744,FarHighWide,0.009999999999999995
83,3475792,3476851,745,ThreeLinesControl,0.015848931924611124
83,3477627,3478403,746,FarLowNarrow,0.050118723362727206
83,3479478,3481276,747,Constant,0.015848931924611127
83,3481328,3482180,748,FarHighWide,0.00794328234724281
83,3483177,3484980,749,FarLowNarrow,0.039810717055349706
83,3485032,3485916,750,FarHighNarrow,0.03981071705534973
83,3486882,3487732,751,FarHighNarrow,0.03162277660168379
83,3488733,3489620,752,ThreeLinesControl,0.012589254117941663
83,3490586,3491500,753,FarLowWide,0.1
83,3492434,3493165,754,FarHighWide,0.009999999999999995
83,3494284,3494941,755,FarHighNarrow,0.025118864315095798
83,3496134,3497165,756,ThreeLinesControl,0.015848931924611124
83,3497984,3499783,757,Constant,0.01995262314968879
83,3499837,3500653,758,FarHighWide,0.00794328234724281
83,3501687,3502453,759,Constant,0.025118864315095794
83,3503536,3504542,760,FarLowWide,0.07943282347242815
83,3505370,3506094,761,FarLowNarrow,0.050118723362727206
83,3507203,3508022,762,Constant,0.031622776601683784
83,3509034,3509838,763,FarLowWide,0.06309573444801932
83,3510880,3511654,764,FarLowNarrow_null,0.0630957344480193
83,3512730,3513630,765,ThreeLinesControl,0.012589254117941663
83,3514584,3515318,766,ThreeLinesControl_null,0.031622776601683784
83,3516434,3517295,767,Constant,0.02511886431509579
83,3518284,3519183,768,FarHighWide,0.0063095734448019285
83,3520136,3520831,769,FarLowNarrow,0.039810717055349706
83,3521986,3522799,770,FarHighWide,0.005011872336272719
83,3523836,3524671,771,FarLowNarrow,0.03162277660168378
83,3525687,3526575,772,FarHighNarrow,0.03162277660168379
83,3527538,3528263,773,FarHighNarrow,0.025118864315095798
83,3529387,3530176,774,FarHighWide,0.0063095734448019285
83,3531245,3532128,775,FarHighWide,0.00794328234724281
83,3533087,3534104,776,FarHighNarrow,0.019952623149688792
83,3534930,3535864,777,FarLowWide,0.05011872336272722
83,3536765,3537472,778,FarHighWide,0.009999999999999995
83,3538599,3539288,779,FarLowWide,0.03981071705534971
83,3540449,3541064,780,Constant,0.01995262314968879
83,3542300,3544101,781,ThreeLinesControl,0.015848931924611124
83,3544152,3544865,782,ThreeLinesControl,0.019952623149688785
83,3546002,3547802,783,FarLowNarrow,0.025118864315095787
83,3547854,3548577,784,FarLowNarrow,0.03162277660168378
83,3549712,3550425,785,FarLowNarrow,0.025118864315095787
83,3551572,3552345,786,FarLowNarrow,0.019952623149688785
83,3553423,3553977,787,Constant,0.015848931924611127
83,3555272,3557073,788,FarHighWide,0.00794328234724281
83,3557127,3557722,789,FarHighNarrow,0.01584893192461113
83,3558972,3559690,790,FarHighNarrow,0.019952623149688792
83,3560824,3561578,791,FarHighWide,0.009999999999999995
83,3562658,3563362,792,FarHighNarrow_null,0.025118864315095794
83,3564499,3565194,793,FarLowNarrow,0.015848931924611124
83,3566337,3568131,794,ThreeLinesControl,0.025118864315095787
83,3568183,3568867,795,FarHighNarrow,0.025118864315095798
83,3570036,3570731,796,Constant,0.012589254117941666
83,3571886,3572627,797,Constant,0.015848931924611127
83,3573738,3574587,798,ThreeLinesControl,0.03162277660168378
83,3575589,3576355,799,ThreeLinesControl,0.039810717055349706
83,3577439,3579239,800,FarHighNarrow,0.019952623149688792
83,3579291,3580084,801,FarHighNarrow,0.025118864315095798
83,3581142,3582036,802,FarLowNarrow_null,0.050118723362727206
83,3582991,3583740,803,FarHighNarrow_null,0.01995262314968879
83,3584842,3585508,804,FarLowNarrow,0.019952623149688785
83,3586691,3587532,805,FarLowWide,0.031622776601683784
83,3588543,3589412,806,FarLowWide_null,0.012589254117941666
83,3590383,3591372,807,FarHighWide,0.012589254117941666
83,3592225,3592973,808,ThreeLinesControl_null,0.02511886431509579
83,3594068,3595052,809,ThreeLinesControl,0.050118723362727206
83,3595920,3597069,810,FarHighWide,0.009999999999999995
83,3597769,3598781,811,FarLowNarrow,0.025118864315095787
83,3599622,3600693,812,Constant,0.01995262314968879
83,3601472,3602389,813,Constant,0.015848931924611127
83,3603322,3604334,814,FarLowNarrow,0.019952623149688785
83,3605174,3606110,815,Constant,0.012589254117941666
