0.9304 	WARNING 	Import Error: dlopen(/Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/PsychHID.abi3.so, 2): Symbol not found: ____chkstk_darwin
  Referenced from: /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib (which was built for Mac OS X 11.0)
  Expected in: /usr/lib/libSystem.B.dylib
 in /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib. Using event module for keyboard component.
293.4290 	DATA 	Trial 106 begins: FarHighNarrow | 0.031622776601683784
293.6648 	DATA 	Stim Appears
293.8823 	DATA 	Stim Disappears
294.4694 	DATA 	Keypress: right
295.1826 	DATA 	Trial 107 begins: Constant | 0.031622776601683784
295.4149 	DATA 	Stim Appears
295.6318 	DATA 	Stim Disappears
296.2614 	DATA 	Keypress: right
296.9320 	DATA 	Trial 108 begins: FarHighWide | 0.031622776601683784
297.1654 	DATA 	Stim Appears
297.3823 	DATA 	Stim Disappears
297.9495 	DATA 	Keypress: right
298.6825 	DATA 	Trial 109 begins: FarHighNarrow | 0.031622776601683784
298.9180 	DATA 	Stim Appears
299.1349 	DATA 	Stim Disappears
299.9734 	DATA 	Keypress: right
300.4351 	DATA 	Trial 110 begins: FarHighNarrow | 0.031622776601683784
300.6677 	DATA 	Stim Appears
300.8845 	DATA 	Stim Disappears
301.5015 	DATA 	Keypress: right
302.1847 	DATA 	Trial 111 begins: FarLowWide | 0.03981071705534971
302.4182 	DATA 	Stim Appears
302.6350 	DATA 	Stim Disappears
303.1815 	DATA 	Keypress: right
303.9352 	DATA 	Trial 112 begins: FarHighWide | 0.031622776601683784
304.1686 	DATA 	Stim Appears
304.3859 	DATA 	Stim Disappears
305.1574 	DATA 	Keypress: right
305.6862 	DATA 	Trial 113 begins: FarHighWide | 0.031622776601683784
305.9184 	DATA 	Stim Appears
306.1353 	DATA 	Stim Disappears
306.8614 	DATA 	Keypress: right
307.4360 	DATA 	Trial 114 begins: FarHighNarrow | 0.02511886431509579
307.6692 	DATA 	Stim Appears
307.8860 	DATA 	Stim Disappears
308.6696 	DATA 	Keypress: right
309.1863 	DATA 	Trial 115 begins: FarLowWide | 0.03981071705534971
309.4187 	DATA 	Stim Appears
309.6355 	DATA 	Stim Disappears
310.1977 	DATA 	Keypress: right
310.9358 	DATA 	Trial 116 begins: FarLowWide | 0.031622776601683784
311.1683 	DATA 	Stim Appears
311.3852 	DATA 	Stim Disappears
311.9015 	DATA 	Keypress: right
312.6854 	DATA 	Trial 117 begins: FarHighNarrow | 0.02511886431509579
312.9186 	DATA 	Stim Appears
313.1354 	DATA 	Stim Disappears
313.7415 	DATA 	Keypress: right
314.4356 	DATA 	Trial 118 begins: FarHighWide | 0.02511886431509579
314.6689 	DATA 	Stim Appears
314.8759 	DATA 	Stim Disappears
315.3175 	DATA 	Keypress: right
316.1762 	DATA 	Trial 119 begins: Constant | 0.031622776601683784
316.4019 	DATA 	Stim Appears
316.6102 	DATA 	Stim Disappears
317.2294 	DATA 	Keypress: right
328.0535 	DATA 	Keypress: right
331.0691 	DATA 	Trial 120 begins: FarLowWide | 0.031622776601683784
331.3017 	DATA 	Stim Appears
331.5185 	DATA 	Stim Disappears
331.9975 	DATA 	Keypress: left
332.8187 	DATA 	Trial 121 begins: FarLowWide | 0.03981071705534971
333.0512 	DATA 	Stim Appears
333.2682 	DATA 	Stim Disappears
333.8615 	DATA 	Keypress: right
334.5685 	DATA 	Trial 122 begins: FarLowWide | 0.03981071705534971
334.8024 	DATA 	Stim Appears
335.0192 	DATA 	Stim Disappears
335.5895 	DATA 	Keypress: right
336.3195 	DATA 	Trial 123 begins: FarHighWide | 0.02511886431509579
336.5527 	DATA 	Stim Appears
336.7687 	DATA 	Stim Disappears
337.3336 	DATA 	Keypress: right
338.0689 	DATA 	Trial 124 begins: FarHighNarrow | 0.02511886431509579
338.3023 	DATA 	Stim Appears
338.5192 	DATA 	Stim Disappears
339.2774 	DATA 	Keypress: left
339.8195 	DATA 	Trial 125 begins: FarHighWide_null | 0.05011872336272722
340.0524 	DATA 	Stim Appears
340.2693 	DATA 	Stim Disappears
341.0854 	DATA 	Keypress: left
341.5696 	DATA 	Trial 126 begins: FarHighNarrow | 0.031622776601683784
341.8019 	DATA 	Stim Appears
342.0187 	DATA 	Stim Disappears
343.0534 	DATA 	Keypress: right
343.3189 	DATA 	Trial 127 begins: Constant_null | 0.05011872336272722
343.5525 	DATA 	Stim Appears
343.7607 	DATA 	Stim Disappears
344.2775 	DATA 	Keypress: left
345.0611 	DATA 	Trial 128 begins: Constant | 0.02511886431509579
345.2855 	DATA 	Stim Appears
345.4937 	DATA 	Stim Disappears
346.1415 	DATA 	Keypress: right
346.7941 	DATA 	Trial 129 begins: FarLowNarrow | 0.031622776601683784
347.0267 	DATA 	Stim Appears
347.2361 	DATA 	Stim Disappears
347.9814 	DATA 	Keypress: right
348.5364 	DATA 	Trial 130 begins: Constant | 0.02511886431509579
348.7633 	DATA 	Stim Appears
348.9791 	DATA 	Stim Disappears
349.5254 	DATA 	Keypress: right
350.2794 	DATA 	Trial 131 begins: Constant | 0.02511886431509579
350.5125 	DATA 	Stim Appears
